web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries
https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,The New York Times,"subject: Documentary Films and Programs;persons: Gertten, Magnus;creative_works: Nelly & Nadine (Movie);subject: Content Type: Personal Profile;subject: Holocaust and the Nazi Era;subject: World War II (1939-45);subject: Women and Girls;subject: Homosexuality and Bisexuality;",2022-12-15T12:00:04+0000,308,"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",,,Nelly &amp; Nadine,,,,By Teo Bugbee,,Nelly & Nadine Review,Nelly Knows Mysteries: A Fatal Engagement,0,en,https://www.hallmarkmystery.com/nelly-knows-mysteries-a-fatal-engagement,"When an unusual handwritten letter arrives at Nelly’s office, she identifies the handwriting as belonging to her childhood friend Dahlia, claiming her boyfriend Blake is being unfaithful. Determined to help, Nelly wants some answers and rushes to Blake’s home only to find his dead body. When Dahlia becomes the prime suspect, the new, handsome Detective in town, Michael Hogan must work with Nelly to prove that her childhood friend is not the killer everyone believes her to be.",11.516,84,0,2024-08-23,7.667,2,"Comedy, Mystery, TV Movie",English,
https://www.nytimes.com/2022/06/22/movies/love-gelato-review.html,A mother’s final wish leads her daughter to retrace her Roman holiday in this lighthearted coming-of-age story.,The New York Times,"subject: Movies;creative_works: Love & Gelato (Movie);persons: Camp, Brandon (1971- );",2022-06-23T03:06:01+0000,288,"‘Love & Gelato’ Review: A Young Girl, Transfigured by Italy",,,Love &amp; Gelato,,,,By Teo Bugbee,,Love & Gelato Review,"Mektoub, My Love: Canto Uno",0,fr,https://www.pathefilms.com/film/mektoubmylovecantouno,"Amin, an aspiring screenwriter living in Paris, returns home for the summer, to a fishing village in the South of France. It is a time of reconnecting with his family and his childhood friends. Together with his cousin Tony and his best friend Ophélie, he spends his time between the Tunisian restaurant run by his parents, the local bars and the beaches frequented by girls on holiday. Enchanted by the many female characters who surround him, Amin remains in awe of these summer sirens while his dionysiac cousin throws himself into their carnal delights with euphoria. Armed with his camera and guided by the bright simmer light of the Mediterranean coast, Amin pursues his philosophical quest while gathering inspiration for his screenplays. When it comes to love, only Mektoub (‘destiny' in Arabic) can decide.",14.96,181,1200387,2017-09-07,6.709,297,"Romance, Drama","Arabic, English, French","France, Italy"
https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"subject: Movies;creative_works: Together (Movie);persons: Daldry, Stephen;persons: McAvoy, James;persons: Horgan, Sharon (1970- );",2021-08-26T11:00:06+0000,412,‘Together’ Review: Love and Loathing in London,,,Love and Loathing in a Blighted London,,,,By Jeannette Catsoulis,,Together Review,Putting It Together,0,en,,"An all-star cast performs the music of one of the greatest composers of our time... Stephen Sondheim.  Anxiously anticipated by the myriad fans of the legendary composer, Putting It Together marked the return of Carol Burnett to the Broadway musical stage for the first time in over 35 years.  Stephen Sondheim has won a record seven Tony Awards for his songwriting, and the Pulitzer Prize for Sunday in the Park with George.  His Broadway smash shows and movies include Gypsy, A Funny Thing Happened on the Way to the Forum, Sweeney Todd, Dick Tracy, and West Side Story.  This Cameron Mackintosh stage production was captured live in performance during its Broadway run and recorded in high definition with a widescreen format using ten cameras and over 40 microphones.",2.657,105,0,2001-10-14,5.8,6,"Drama, Comedy",English,United States of America
https://www.nytimes.com/2021/06/10/movies/asia-review.html,This drama about a young single mother and a terminally ill daughter avoids sentimentalism but indulges heavily in dourness.,The New York Times,"subject: Movies;persons: Haas, Shira;persons: Pribar, Ruthy;persons: Yiv, Alena;",2021-06-10T11:00:15+0000,290,‘Asia’ Review: Tough Love and an Indecent Proposal,,,Asia,,,,By Devika Girish,,Asia Review,Asia: Music in Review,0,en,,"Pop-rock supergroup Asia is the focus of this critical review that traces the band's origins and highlights their musical achievements. Featuring former members of rock groups Yes, King Crimson and Emerson, Lake &amp; Palmer, Asia rose to the top of charts in the 1980s with hits such as ""Heat of the Moment"" and ""Sole Survivor."" This video features live performances of many Asia favorites, along with exclusive interviews with band members.",0.001,0,0,2006-01-01,0.0,0,,,
https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"subject: Movies;creative_works: Queen & Slim (Movie);persons: Matsoukas, Melina;persons: Waithe, Lena;persons: Kaluuya, Daniel;persons: Turner-Smith, Jodie;",2019-11-26T17:41:50+0000,799,‘Queen & Slim’ Review: Love on the Run,critic’s pick,,Love Simmers Inside a Cauldron,,,,By A.O. Scott,,Queen & Slim Review,Η Μαύρη Εμμανουέλα,0,el,,"A woman struggles to keep her stepdaughter from harms way after she hires an assassin to kill her husband, but the hitman turns and blackmails her for the crime.",41.432,91,0,1980-02-01,6.119,88,"Crime, Drama, Thriller","Greek, Italian","Cyprus, Greece"
https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,The New York Times,"subject: Movies;creative_works: Asako I & II (Movie);persons: Hamaguchi, Ryusuke;",2019-05-16T11:00:01+0000,547,‘Asako I & II’ Review: Double the Love (and the Heartbreak),Critic’s Pick,,Falling For a Drifter And His Lookalike,,,,By Glenn Kenny,,Asako I & II Review,寝ても覚めても,0,ja,http://www.netemosametemo.jp/,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei.",10.257,119,0,2018-09-01,6.799,169,"Drama, Romance","Japanese, English",Japan
https://www.nytimes.com/2018/11/01/movies/theyll-love-me-when-im-dead-review-documentary.html,Morgan Neville’s movie tells the tumultuous behind-the-scenes story of the making and near-unmaking of “The Other Side of the Wind.”,The New York Times,"subject: Documentary Films and Programs;creative_works: They'll Love Me When I'm Dead (Movie);persons: Neville, Morgan;creative_works: The Other Side of the Wind (Movie);persons: Welles, Orson;",2018-11-01T13:56:39+0000,794,Review: ‘They’ll Love Me When I’m Dead’ Documents Orson Welles’s Last Film,,,The Legend Behind The Scenes,,,,By Manohla Dargis,,They Review,F1 2000 Official Review - They’ve Done It At Last,0,en,http://www.dukevideo.com/prd3700/F1-2000-Official-Review-They-ve-Done-It-at-Last-VHS,"Williams BMW employed the youngest ever British driver, twenty-year-old Jenson Button, big cats Jaguar opened their first F1 season, hoping to follow on from previous success in sports car racing and the US hosted its first F1 race for nine years, attracting the biggest spectator crowd the sport has witnessed in recent times. The season saw a wave of emerging talent such as Pedro de la Rosa (Arrows), and notably Jarno Trulli (Jordan), who ran strong at the Nurburgring and Monaco respectively. But no one looked close to challenging the sport’s contemporary stars Michael Schumacher (Ferrari) and Mika Hakkinen (McLaren). With the aid of Ferrari’s master strategist Ross Brawn, Michael Schumacher’s persistence and determination clinched the championship title for the third time. This video captures the season’s most awesome moments, including unique footage previously only seen on the pay-per-view channels which are produced by Formula One Administration Limited.",0.929,130,0,2001-01-01,0.0,0,"History, Documentary, Action",English,United Kingdom
https://www.nytimes.com/2018/04/26/movies/love-and-bananas-review-asian-elephants.html,"In this personal movie, the actress Ashley Bell embarks on an elephant rescue in Thailand that also reveals the threats to the animal’s survival.",The New York Times,"creative_works: Love & Bananas: An Elephant Story (Movie);persons: Bell, Ashley (1986- );subject: Elephants;subject: Animal Abuse, Rights and Welfare;subject: Documentary Films and Programs;",2018-04-26T11:00:01+0000,254,"Review: In ‘Love & Bananas,’ Uncovering the Plight of the Asian Elephant",,,Love &amp; Bananas: An Elephant Story,,,,By Glenn Kenny,,"Love & Bananas, Review","Mektoub, My Love: Canto Uno",0,fr,https://www.pathefilms.com/film/mektoubmylovecantouno,"Amin, an aspiring screenwriter living in Paris, returns home for the summer, to a fishing village in the South of France. It is a time of reconnecting with his family and his childhood friends. Together with his cousin Tony and his best friend Ophélie, he spends his time between the Tunisian restaurant run by his parents, the local bars and the beaches frequented by girls on holiday. Enchanted by the many female characters who surround him, Amin remains in awe of these summer sirens while his dionysiac cousin throws himself into their carnal delights with euphoria. Armed with his camera and guided by the bright simmer light of the Mediterranean coast, Amin pursues his philosophical quest while gathering inspiration for his screenplays. When it comes to love, only Mektoub (‘destiny' in Arabic) can decide.",14.96,181,1200387,2017-09-07,6.709,297,"Romance, Drama","Arabic, English, French","France, Italy"
https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,The New York Times,"subject: Movies;creative_works: Godard Mon Amour (Movie);persons: Hazanavicius, Michel;persons: Godard, Jean-Luc;persons: Wiazemsky, Anne;persons: Garrel, Louis;",2018-04-18T23:02:46+0000,937,"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’",,,"A Portrait and, for Some, a Hate-Watch",,,,By A.O. Scott,, Review,プリンセス・プリンシパル Crown Handler 第2章「Revealing Reviews」,0,ja,,,0.806,8,0,2022-03-29,0.0,0,Animation,Japanese,Japan
https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling.",The New York Times,"subject: Movies;creative_works: The Last Face (Movie);persons: Penn, Sean;persons: Bardem, Javier;persons: Theron, Charlize;",2017-07-27T20:29:01+0000,280,Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,,,The Last Face,,,,By Glenn Kenny,, Review,プリンセス・プリンシパル Crown Handler 第2章「Revealing Reviews」,0,ja,,,0.806,8,0,2022-03-29,0.0,0,Animation,Japanese,Japan
https://www.nytimes.com/2017/03/02/movies/love-taxes-review.html,Josh Kornbluth runs afoul of the Internal Revenue Service after failing to file tax returns for seven years.,The New York Times,"creative_works: Love & Taxes (Movie);persons: Kornbluth, Jacob;subject: Movies;persons: Kornbluth, Josh;",2017-03-02T21:44:18+0000,246,Review: It’s All Mirth and Taxes in ‘Love & Taxes’,,,"It’s Inevitable, Mirth and Taxes",,,,By Ken Jaworowski,, Review,プリンセス・プリンシパル Crown Handler 第2章「Revealing Reviews」,0,ja,,,0.806,8,0,2022-03-29,0.0,0,Animation,Japanese,Japan
https://www.nytimes.com/2017/05/11/movies/hounds-of-love-review.html,This feature debut of the Australian filmmaker Ben Young resembles a real-life couple’s killing spree in the 1980s.,The New York Times,"subject: Movies;creative_works: Hounds of Love (Movie);persons: Young, Ben (Film Director);",2017-05-11T20:16:51+0000,280,Review: ‘Hounds of Love’ Is Tense and Deadly Down Under,,,Hounds of Love,,,,By Ben Kenigsberg,,Hounds of Love Review,Kate Bush - Hounds of Love: A Classic Album Under Review,0,en,,"Featuring astute track-by-track analysis, this in-depth retrospective revisits British pop-rocker Kate Bush's epic 1985 release ""The Hounds of Love,"" with noted journalists, musicologists and a host of insiders weighing in on the austere masterpiece. Rounding out the 90-minute video are live and studio performances of each song on the album, archival interviews with Bush and contributor biographies.",1.006,90,0,2009-02-10,8.0,1,"Music, Documentary",English,
